"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Improvement of visual servoing tasks by underwater image enhancement","D. Cesar; S. Joyeux; M. Reis; A. Conceição; J. Albiez","Brazilian Institute of Robotics, SENAI CIMATEC, Salvador, Bahia, Brazil; Brazilian Institute of Robotics, SENAI CIMATEC, Salvador, Bahia, Brazil; Brazilian Institute of Robotics, SENAI CIMATEC, Salvador, Bahia, Brazil; Department of Electrical Engineering, UFBA, Salvador, Bahia, Brazil; Brazilian Institute of Robotics, SENAI CIMATEC, Salvador, Bahia, Brazil","OCEANS 2017 - Anchorage","25 Dec 2017","2017","","","1","6","Underwater image formation is degraded by several factors, which causes the ocean to be a challenging environment for image processing. This paper aims to improve the visual servoing capability of an autonomous underwater vehicle by using pre-processing algorithms to improve the image quality. We used artificial fiducial markers to feed the visual controller. Therefore, three different methods for imaging enhancing were applied to the raw image aiming to increase the detection rate of the marker detector. Since the performance of the visual controller also depends on the detection time, this was also considered in the comparison. Finally, the algorithm that caused the best improvement in marker detection was tested in a visual servoing mission. The proposed methods have shown a significantly improvement in the marker detection rates and reasonable detection times for visual servoing of autonomous underwater vehicles. In terms of visual servoing missions, this work shows that the proposed methods not only increased the controller frequency, but also made visual servoing possible when water condition is not favorable and no marker can be detected without a pre-processing layer.","","978-0-6929-4690-9","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8232222","","Visual servoing;Visualization;Detectors;Image resolution;Inspection","autonomous underwater vehicles;image enhancement;marine control;mobile robots;object detection;robot vision;visual servoing","visual servoing tasks;underwater image enhancement;image processing;visual servoing capability;autonomous underwater vehicle;image quality;artificial fiducial markers;visual controller;marker detection rates;preprocessing algorithms;underwater image formation","","","21","","25 Dec 2017","","","IEEE","IEEE Conferences"
"The use of land cover change likelihood for improving land cover classification","M. S. Reis; S. J. S. Sant'Anna; L. V. Dutra; M. I. S. Escada; E. Pantaleão","Brazilian National Institute for Space Research São José dos Campos, SP - Brazil; Brazilian National Institute for Space Research São José dos Campos, SP - Brazil; Brazilian National Institute for Space Research São José dos Campos, SP - Brazil; Brazilian National Institute for Space Research São José dos Campos, SP - Brazil; Federal University of Uberlândia Patos de Minas, MG - Brazil","2017 IEEE International Geoscience and Remote Sensing Symposium (IGARSS)","4 Dec 2017","2017","","","3222","3225","The likelihood of transitions between pairs of land cover and land use classes in a given time interval and environmental context can be used to impose classification restrictions on an image or to evaluate results. This study presents a methodology for using the likelihood of transitions between classes to improve land cover classification, given a base map (a supposedly accurate map for the same area in another date) and a set of previously classified images. These improved land cover classified images were named conditioned classified images. We aimed to classify one Synthetic Aperture Radar image and an optical one, both from June 2010, using two land cover legends in different level of detail for a region in the Brazilian Amazon. We used both a classified image from 2008 (also in two legends levels) and the data from the Programme for the Estimation of Deforestation in Brazilian Amazon (PRODES) from 2008 as base maps, and presented the likelihood of transitions between the considered classes. The proposed methodology resulted in conditioned classified images with higher Overall Accuracy than the one that does not consider the base maps and the likelihood of transitions. The conditioned classified images presented unlabeled areas due to classification errors in the input data. It is important to highlight that these areas are probably misclassified in maps obtained without using likelihood transition and base maps, since they are impossible to occur in the field.","2153-7003","978-1-5090-4951-6","10.1109/IGARSS.2017.8127683","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8127683","Image classification;likelihood of transitions between pair of classes;conditioned classifications","Vegetation mapping;Synthetic aperture radar;Optical imaging;Optical sensors;Indexes;Remote sensing;Training","geophysical image processing;image classification;land cover;radar imaging;remote sensing by radar;synthetic aperture radar","land cover change likelihood;land cover classification;Synthetic Aperture Radar image;image classification;AD 2010 06;AD 2008;Programme for the Estimation of Deforestation in Brazilian Amazon;PRODES","","","7","","4 Dec 2017","","","IEEE","IEEE Conferences"
"Oil Slicks Detection From Polarimetric Data Using Stochastic Distances Between Complex Wishart Distributions","P. C. Genovez; C. C. Freitas; S. J. S. Sant'Anna; C. M. Bentz; J. A. Lorenzzetti","Brazilian Institute for Space Research (INPE), São José dos Campos, Brazil; Brazilian Institute for Space Research (INPE), São José dos Campos, Brazil; Brazilian Institute for Space Research (INPE), São José dos Campos, Brazil; Research Center of Petrobras (CENPES), Rio de Janeiro, Brazil; Brazilian Institute for Space Research (INPE), São José dos Campos, Brazil","IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing","20 May 2017","2017","10","2","463","477","Polarimetric synthetic aperture radars (PolSAR) have been used to detect oil slicks at the sea surface. Different techniques to extract information from polarimetric data, using an adequate statistical distribution are currently available. A region-based classifier for PolSAR data - named PolClass - uses a supervised approach to compare stochastic distances between scaled complex Wishart distributions and hypothesis tests to associate confidence levels into the classification results. In this paper, the integrated use of these distances together with the uncertainty maps is applied for the first time to detect oil slicks. A quad-pol Radarsat-2 data, acquired during one open-water controlled exercise, was used to perform this test. The PolClass achieved similar overall accuracies for four stochastic distances, reaching 96.54% of global accuracy, the best result obtained by the Hellinger distance. A comparison between the full- and dual-pol matrices indicated that the results obtained with the VV-HH-HV, HH-HV, and VV-HV polarizations are statistically equivalent, but different from that obtained using the HH-VV. Therefore, the exclusion of the HV channel affected the detection of only mineral oils. The classifier demonstrated the potential to detect the three types of oils released, being more effective in detecting biogenic oils rather than mineral oils. The uncertainty levels increase from the center to the border of the mineral oil slicks, indicating the presence of transition regions, possibly related to different weathering mechanisms. The proposed approach will contribute to the understanding of where different physical and chemical processes may be acting, associating confidence levels to the classification results.","2151-1535","","10.1109/JSTARS.2016.2628325","CNPQ; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7819529","Information theory;oil slicks detection;polarimetry;region-based classification;stochastic distances;synthetic aperture radar (SAR);uncertainty maps","Oils;Synthetic aperture radar;Uncertainty;Stochastic processes;Backscatter;Sea surface;Minerals","geophysical image processing;oils;radar polarimetry;remote sensing by radar;synthetic aperture radar","oil slicks detection;polarimetric data;stochastic distances;complex Wishart distributions;polarimetric synthetic aperture radars;PolSAR data;PolClass;quad-pol Radarsat-2 data;mineral oils;biogenic oils;weathering mechanisms","","5","57","","16 Jan 2017","","","IEEE","IEEE Journals"
"Subpulse processing for long range surveillance noise radars","G. Beltrao; L. Pralon; M. Menezes; P. Vyplavin; B. Pompeo; M. Pralon",Brazilian Army Technological Center - Brazil; Brazilian Army Technological Center - Brazil; Bradar Industria S.A. - Brazil; State University of Campinas - Brazil; Brazilian Army Technological Center - Brazil; Brazilian Army Technological Center - Brazil,"International Conference on Radar Systems (Radar 2017)","28 May 2018","2017","","","1","4","Noise radar is the general term used to describe pulse compression radar systems that employ realizations of a given stochastic process as transmit waveforms. With the proper choice of systems parameters, high performance with respect to the suppression of range ambiguity and low range sidelobes can be achieved, indicating their high suitability for several applications. Furthermore, the random nature that underpins such technology evidences their inherent low probability of interception property, specially necessary in military systems. Despite such features, their usage in surveillance related applications, where targets velocity are unknown, is still limited, because they often present a near thumbtack ambiguity function, and, as a consequence, low Doppler tolerance. The latter becomes more critical in long range applications, where the transmission of long duration pulses are often desired to meet the system's power requirements. Within this context, relying on the referred waveforms stochastic properties, a subpulse processing technique is proposed, allowing the detection of fast targets in long range surveillance Noise Radars.","","978-1-78561-672-3","10.1049/cp.2017.0536","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8367621","Noise radar;Doppler tolerance;surveillance","","Doppler radar;military radar;probability;pulse compression;radar detection;radar interference;radar resolution;radar signal processing;random noise;search radar;stochastic processes;waveform analysis","military systems;thumbtack ambiguity function;long duration pulses;referred waveforms stochastic properties;subpulse processing technique;long range surveillance Noise Radars;general term;pulse compression radar systems;range ambiguity;low range sidelobes;interception property;Doppler tolerance;stochastic process","","2","","","28 May 2018","","","IET","IET Conferences"
"Near-thumbtack ambiguity function of random frequency modulated signals","L. Pralon; G. Beltrao; B. Pompeo; M. Pralon; J. M. Fortes",Brazilian Army Technological Center-Brazil; Brazilian Army Technological Center-Brazil; Brazilian Army Technological Center-Brazil; Brazilian Army Technological Center-Brazil; Pontificial Catholic University - Brazil,"2017 IEEE Radar Conference (RadarConf)","8 Jun 2017","2017","","","0352","0355","Noise radar is an emerging technology which employs random signals as their transmit waveforms. Relying on its stochastic properties, with the proper choice of system s parameters, high performance with respect to the suppression of range ambiguity and low range sidelobes can be achieved. Many works have been published in the literature addressing systems that transmit carriers modulated in amplitude by a given stochastic process, generally generated by a hardware noise source. Nevertheless, the characterization of random frequency modulation (more suitable for several applications) is still an on going subject matter. Within this context, in this paper closed form expressions of the narrowband ambiguity function of random frequency modulated signals are presented, and, as a consequence, its Doppler tolerance is better addressed.","2375-5318","978-1-4673-8823-8","10.1109/RADAR.2017.7944226","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7944226","Noise radar;random waveform;ambiguity function","Frequency modulation;Doppler effect;Doppler radar;Stochastic processes;Narrowband","Doppler effect;FM radar;radar signal processing;random processes;stochastic processes;waveform analysis","near-thumbtack ambiguity function;random frequency modulated signals;noise radar;transmit waveforms;stochastic properties;range ambiguity suppression;low range sidelobes;transmit carriers;hardware noise source;closed form expressions;narrowband ambiguity function;Doppler tolerance","","6","11","","8 Jun 2017","","","IEEE","IEEE Conferences"
"A new nested benders decomposition strategy for parallel processing applied to the hydrothermal scheduling problem","T. Norbiato dos Santos; A. Diniz; C. T. Borges","DEA, CEPEL - Brazilian Electric Energy Research Center; DEA, CEPEL - Brazilian Electric Energy Research Center; Electric engineering, UFRJ - Federal University of Rio de Janeiro","2017 IEEE Power & Energy Society General Meeting","1 Feb 2018","2017","","","1","1","Several optimization strategies are suitable for parallel processing, such as mathematical-programming based decomposition strategies, like Lagrangian Relaxation and twostage Benders decomposition, and evolutionary programminglike algorithms. In such cases, most subproblems can be solved independently by different processors. However, parallel processing is not suitable for some problems solved by nested Benders decomposition, due to the hierarchy between subproblems related to different time steps. In particular, for the deterministic case, parallel programming has been restricted to thread processing in lower-level machine computation and optimization solver codes. This paper proposes a new nested Benders decomposition strategy that is suitable for parallel processing, where time-coupled stages are solved simultaneously and an alternative procedure is employed to share initial conditions for the next stages as well as Benders cuts for the previous stages. The methodology is applied to the deterministic short term hydrothermal scheduling problem for the real large-scale Brazilian system, where the advantages of the proposed approach become more evident. In order to show the applicability of the method in low-budget and small parallel environments, the case study was processed with up to 24 process on multi-core computers.","1944-9933","978-1-5386-2212-4","10.1109/PESGM.2017.8274148","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8274148","","Optimization;Scheduling;Parallel programming;Instruction sets;Processor scheduling","hydrothermal power systems;optimisation;parallel processing;parallel programming;power generation scheduling;stochastic programming","optimization strategies;parallel processing;mathematical-programming based decomposition strategies;parallel programming;thread processing;nested benders decomposition strategy;deterministic short term hydrothermal scheduling problem;parallel environments;two-stage Benders decomposition","","","","","1 Feb 2018","","","IEEE","IEEE Conferences"
"Database and Knowledge Base Integration Method to Support Decision-Making Related to Quality of Application and Use of Agricultural Sprayers","E. A. G. Peñaloza; P. E. Cruvinel; V. A. Oliveira; A. G. F. Costa","Embrapa Instrum., Brazilian Agric. Res. Corp., Sao Carlos, Brazil; Embrapa Instrum., Brazilian Agric. Res. Corp., Sao Carlos, Brazil; Embrapa Cotton, Brazilian Agric. Res. Corp., Campina Grande, Brazil; Dept. of Electr. Eng. & Comput., Univ. of Sao Paulo, Sao Carlos, Brazil","2017 IEEE 11th International Conference on Semantic Computing (ICSC)","30 Mar 2017","2017","","","439","444","This paper presents a method for integrating collected data into a knowledge base, which is useful for assisting decision making processes in practical agricultural spraying practices. The knowledge base in this case is formed by the models of a function of distribution of droplet mean, ranges of the sprayer operating conditions for each nozzle and also by the drops classification standards. The previously obtained results from the knowledge base are thus organized in terms of the operating conditions in a controlled environment. The electrohydraulic operating conditions of the sprayer which includes speed and flow measurements are used to define experimental tests, perform calibration of the spray booms and select nozzle types. The evaluation of the quality of the application is based on the analysis of the normal distributions of volumetric mean diameters along with the information obtained from the knowledge base. Therefore, integrating measurements to a knowledge base can improve the decision-making in the adjustments required in agricultural spraying process, making possible the representation of the mean drop rates and the fitting of the drops mean diameters to a distribution function. The consistency of the analyzed data base and the independence between the data of each test were evaluated using the Grubbs test and the quartilequartile plot. Results show that the use of advanced models can help in the semantic interpretation of the quality of the agricultural sprayers and to improve decision-making processes.","","978-1-5090-4284-5","10.1109/ICSC.2017.41","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7889576","Advanced modeling;quality of agricultural application;drop size distribution;agricultural sprayers","Standards;Spraying;Knowledge based systems;Agriculture;Databases;Bars","agriculture;decision making;normal distribution","knowledge base integration method;agricultural sprayers;decision making processes;electrohydraulic operating conditions;normal distributions;volumetric mean diameters;Grubbs test;quartilequartile plot","","","14","","30 Mar 2017","","","IEEE","IEEE Conferences"
"Modern river charting: Inland ENC derived from multibeam survey in Paraguay river","F. Mandarino; A. A. Neto; V. B. Pimentel; C. Florentino","Brazilian Navy Hydrographic Center (CHM) / Fluminense Federal University (UFF), Niterói, Rio de Janeiro 24048-900; Fluminense Federal University (UFF), Niterói, Brazil; Brazilian Navy Hydrographic Center (CHM)/ Fluminense Federal University (UFF); Brazilian Navy Hydrographic Center (CHM)/ Fluminense Federal University (UFF)","2017 IEEE/OES Acoustics in Underwater Geosciences Symposium (RIO Acoustics)","26 Apr 2018","2017","","","1","4","Traditionally official cartographic production for Brazilian rivers have been elaborated using hydrographic data mainly collected using singlebeam echosounders. More recently, Brazilian Navy has conducted multibeam surveys, firstly for Amazonas River and more recently for Paraguay River. Meanwhile, new cartographic products specifications have been developed. In the scope of the maritime nautical charts, paper charts have been evolved into electronic navigational charts (ENC), vector data comprising the environment features relevant to navigation. Regarding the river nautical charts, following same tendency, another product specification was created: the Inland ENC, similar to the maritime ENC, but adapted to the fluvial environment. This paper aims to compare an Inland ENC derived from a singlebeam survey, using traditional cartographic approach and another Inland ENC produced directly from multibeam survey data in the Paraguay River, which was chosen as a study area for the first Brazilian Inland ENCs. It is the first time such process was applied to produce Paraguai River charts using official Brazilian Navy data. The results may be applied to establish a methodology for the production of the Paraguay River official Inland ENCs.","","978-1-5090-5010-9","10.1109/RIOAcoustics.2017.8349700","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8349700","","Rivers;Navigation;Production;Organizations;Acoustics;Standards organizations","cartography;oceanographic techniques;rivers","modern river charting;official cartographic production;Brazilian rivers;hydrographic data;cartographic products specifications;maritime nautical charts;paper charts;electronic navigational charts;river nautical charts;maritime ENC;singlebeam survey;multibeam survey data;Brazilian Inland ENCs;Paraguai River charts;official Brazilian Navy data;Paraguay River official Inland ENCs;singlebeam echosounders;Amazonas River","","","8","","26 Apr 2018","","","IEEE","IEEE Conferences"
"Polarization optimization of compact antenna arrays for direction of arrival estimation","M. Pralon; M. Hein; R. Thomä; L. Pralon; B. Pompeo; G. Beltrao; G. Del Galdo; M. Landmann","Ilmenau University of Technology, Electronic Measurement Research Laboratory, Ilmenau, Germany; Ilmenau University of Technology, Electronic Measurement Research Laboratory, Ilmenau, Germany; Ilmenau University of Technology, Electronic Measurement Research Laboratory, Ilmenau, Germany; Brazilian Army Technology Center Fraunhofer, Rio de Janeiro, Brazil; Brazilian Army Technology Center Fraunhofer, Rio de Janeiro, Brazil; Brazilian Army Technology Center Fraunhofer, Rio de Janeiro, Brazil; Institute for Integrated Circuits, Ilmenau, Germany; Institute for Integrated Circuits, Ilmenau, Germany","2017 47th European Microwave Conference (EuMC)","21 Dec 2017","2017","","","1333","1336","Analysis of polarization optimization of dual-polarized compact arrays for direction finding, which include Decoupling and Matching Networks (DMNs) comprised of distributed elements, is performed in this paper. The CRLB for two-dimensional Direction of Arrival (DoA) estimation is used as a figure of merit for the performance of five elements dual-polarized circular L-Quad arrays, assuming different interelement spacings and the correspondent DMNs, designed with the aim of decoupling and matching the compact arrays, with interelement spacing smaller than half of the free-space wavelength. Owing to the dual-polarimetric characteristic of the antenna array investigated, it is possible to optimize the DMN to decouple and match the array elements for the direction finding of impinging electromagnetic wavefronts.","","978-2-87487-047-7","10.23919/EuMC.2017.8231098","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8231098","direction finding;source localization;dual-polarized antennas;CRLB;decoupling;matching;compact antenna arrays;decoupling networks","Antenna arrays;Direction-of-arrival estimation;Antenna radiation patterns;Estimation;Array signal processing;Directive antennas;Antenna measurements","antenna arrays;array signal processing;direction-of-arrival estimation;electromagnetic wave polarisation","2D direction of arrival estimation;decoupling and matching networks;electromagnetic wavefront;dual-polarized circular L-Quad arrays;direction finding;dual-polarized compact arrays;compact antenna arrays","","","12","","21 Dec 2017","","","IEEE","IEEE Conferences"
"On the polarization effects of decoupling and matching networks on compact single-polarized antenna arrays for direction finding","M. Pralon; M. Hein; R. Thomä; L. Pralon; B. Pompeo; G. Beltrao; G. Del Galdo","Ilmenau University of Technology, Ilmenau, Germany; Ilmenau University of Technology, Ilmenau, Germany; Ilmenau University of Technology, Ilmenau, Germany; Brazilian Army Technology Center, Rio de Janeiro, Brazil; Brazilian Army Technology Center, Rio de Janeiro, Brazil; Brazilian Army Technology Center, Rio de Janeiro, Brazil; Fraunhofer Institute for Integrated Circuits, Ilmenau, Germany","2017 IEEE-APS Topical Conference on Antennas and Propagation in Wireless Communications (APWC)","9 Oct 2017","2017","","","256","259","We investigate in this paper the effects of Decoupling and Matching Networks (DMNs) to the polarization characteristics of single-polarized microstrip patches used for the Direction of Arrival (DoA) estimation of impinging waves. Additionally, we present results on the Cramer-Rao Lower Bound (CRLB), used as a performance metric, with the aim of evaluating the impact of polarization on the capabilities of the array for direction finding. The effects of DMNs, designed with the goal of decoupling and matching radiating elements, will be analyzed for compact antenna arrays with different inter-element spacings smaller than half of the free-space wavelength.","","978-1-5090-4454-2","10.1109/APWC.2017.8062295","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8062295","direction finding;target localization;polarization;single-polarized antennas;CRLB;decoupling;matching;compact antenna arrays;decoupling networks","Antenna radiation patterns;Microstrip antennas;Microstrip;Microstrip antenna arrays;Ports (Computers);Estimation","antenna radiation patterns;array signal processing;direction-of-arrival estimation;electromagnetic wave polarisation;microstrip antenna arrays;radio direction-finding","polarization effects;compact single-polarized antenna arrays;direction finding;DMNs;polarization characteristics;single-polarized microstrip patches;impinging waves;Cramer-Rao Lower Bound;performance metric;direction of arrival estimation;decoupling and matching networks;interelement spacings;free-space wavelength","","","9","","9 Oct 2017","","","IEEE","IEEE Conferences"
"A cosmic rays based method to detect and correct PMT gain variations for the ν-Angra veto system","L. Melo; G. S. Lopes; D. M. Souza; I. A. Costa; A. F. Junior; R. A. Nóbrega; J. C. Anjos; H. P. Lima; G. Cernichiaro; I. M. Pepe; E. F. De S. Filho; D. B. Dos S. Ribeiro; P. Chimenti; G. P. Guedes; E. Kemp","Federal University of Juiz de Fora, Juiz de Fora-MG, Brasil; Federal University of Juiz de Fora, Juiz de Fora-MG, Brasil; Federal University of Juiz de Fora, Juiz de Fora-MG, Brasil; Federal University of Juiz de Fora, Juiz de Fora-MG, Brasil; Federal University of Juiz de Fora, Juiz de Fora-MG, Brasil; Federal University of Juiz de Fora, Juiz de Fora-MG, Brasil; Brazilian Center for Research in Physics, Rio de Janeiro-RJ, Brasil; Brazilian Center for Research in Physics, Rio de Janeiro-RJ, Brasil; Brazilian Center for Research in Physics, Rio de Janeiro-RJ, Brasil; Federal University of Bahia, Salvador-BA, Brasil; Fed. Univ. of Bahia, Salvador, Brazil; Fed. Univ. of Bahia, Salvador, Brazil; Federal University of ABC, Santo Andre-SP, Brasil; State University of Feira de Santana, Feira de Santana-BA, Brasil; State University of Campinas, Campinas-SP, Brasil","2017 2nd International Symposium on Instrumentation Systems, Circuits and Transducers (INSCIT)","13 Nov 2017","2017","","","1","6","The Neutrinos Angra (ν-Angra) Experiment aims to construct an antineutrinos detection device capable of monitoring the Angra dos Reis nuclear reactor activity. The proposed system considers a detector operating on the surface, which makes it exposed to a high rate of background noise, mainly due to cosmic rays. Therefore, the veto system has a fundamental role in the experiment viability. This paper proposes an innovative methodology to monitor the gain variation of the photomultiplier tubes in the veto system, during operation, based on cosmic rays muons.","","978-1-5386-2021-2","10.1109/INSCIT.2017.8103526","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8103526","Neutrinos;Detectors;PMT Hamamatsu R5912","Detectors;Monitoring;Noise measurement;Cosmic rays;Neutrino sources;Algorithm design and analysis;Neurons","cosmic ray apparatus;cosmic ray muons;data acquisition;fission reactor instrumentation;fission reactor monitoring;neutrino detection;neutrino oscillations;photomultipliers","cosmic rays muons;gain variation;experiment viability;background noise;detector operating;Angra dos Reis nuclear reactor activity;antineutrinos detection device;Neutrinos Angra;ν-Angra veto system;PMT gain variations","","1","7","","13 Nov 2017","","","IEEE","IEEE Conferences"
"Employing SDN to control video streaming applications in military mobile networks","I. Zacarias; J. Schwarzrock; L. P. Gaspary; A. Kohl; R. Q. A. Fernandes; J. M. Stocchero; E. P. de Freitas","Federal University of Rio Grande do Sul, Porto Alegre, RS, Brazil; Federal University of Rio Grande do Sul, Porto Alegre, RS, Brazil; Federal University of Rio Grande do Sul, Porto Alegre, RS, Brazil; Brazilian Army; Brazilian Army; Brazilian Army; Federal University of Rio Grande do Sul, Porto Alegre, RS, Brazil","2017 IEEE 16th International Symposium on Network Computing and Applications (NCA)","11 Dec 2017","2017","","","1","4","Video streaming is an important service provided by surveillance systems to enhance situation awareness. However, in military systems, data acquisition heavily depends on the network infrastructure. In this application domain, units are spread and the distance between the sources of data and the decision makers may be very large. In the case of video streaming, the demand for high network throughput poses some extra requirements on the network. Considering the mobility patterns of the military units and the diversity of the new generations of sensors, especially those used by Unmanned Aerial Vehicles (UAV), the configuration and the management of the network must be so dynamic and so sensitive to data flow parameters that manual configuration is not acceptable. For this reason, the capability of the network to configure itself to offer the necessary Quality of Service is a must. Using principles of Software Defined Networks (SDN), this paper presents an analysis of video streaming for military surveillance in which multiple UAVs are employed as data providers through an SDN-enabled network, with promising results.","","978-1-5386-1465-5","10.1109/NCA.2017.8171390","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8171390","","Streaming media;Surveillance;Land vehicles;Measurement;Topology;Vehicle dynamics;Reconnaissance","autonomous aerial vehicles;data acquisition;military communication;military computing;military systems;mobile radio;software defined networking;surveillance;video streaming","SDN;military mobile networks;video streaming;surveillance systems;situation awareness;military systems;data acquisition;network infrastructure;application domain;mobility patterns;military units;military surveillance;data providers;software defined networks;data flow parameters;unmanned aerial vehicles;UAV;quality of service","","3","12","","11 Dec 2017","","","IEEE","IEEE Conferences"
"A vision for human-machine mutual understanding, trust establishment, and collaboration","C. R. B. Azevedo; K. Raizer; R. Souza",Ericsson Research - Affiliated Brazilian Branch; Ericsson Research - Affiliated Brazilian Branch; Ericsson Research - Affiliated Brazilian Branch,"2017 IEEE Conference on Cognitive and Computational Aspects of Situation Management (CogSIMA)","18 May 2017","2017","","","1","3","Human-machine interactions are likely to require synergistic multidisciplinary research efforts for supporting a paradigm shift towards collaborative-oriented use cases. An essential aspect of collaboration is trust and in order to establish it there is need for human-machine mutual understanding (HMMU). We argue that achieving HMMU will require evolving from an approach that reduces human factors as uncontrollable environmental elements, to one that repositions human emotions not only as a central part of an integrated control paradigm, but also as interpretable and steerable through appropriate information flows and mutual learning cycles. On the strategic decision-making side, we argue conflict resolution will require anticipating multiple trade-off situations that include human factors. On the operational level, symbiotic human-machine cognitive architectures should embed detected human emotions as inputs in shared machine control models. Trust measurements will play the role of mediating task coordination by pinpointing and dynamically composing appropriate situation-aware interaction protocols. In addition to a vision for HMMU, this paper proposes a multidisciplinary research strategy that attempts to unify the isolated efforts of different communities. The proposed vision is contextualized within a high-level research roadmap to support near and long-term activities in HMMU.","2379-1675","978-1-5090-6380-2","10.1109/COGSIMA.2017.7929606","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7929606","Human-Machine Interaction;Autonomous Systems;Situation-Awareness;Cognitive Agents;Trust;Shared Control","Collaboration;Hidden Markov models;Autonomous systems;Robots;Man-machine systems;Human factors;Computer architecture","decision making;groupware;human computer interaction;learning (artificial intelligence);software architecture","human-machine mutual understanding;trust establishment;human-machine interactions;collaborative-oriented use cases;HMMU;information flows;mutual learning cycles;strategic decision making;symbiotic human-machine cognitive architectures;situation-aware interaction protocols","","3","21","","18 May 2017","","","IEEE","IEEE Conferences"
"Improvements in dynamics simulation for underwater vehicles deployed in Gazebo","J. Britto; A. Conceição; S. Joyeux; J. Albiez","Brazilian Institute of Robotics, SENAI CIMATEC, Salvador, Bahia, Brazil; Electrical Engineering Department, UFBA, Salvador, Bahia, Brazil; Brazilian Institute of Robotics, SENAI CIMATEC, Salvador, Bahia, Brazil; Brazilian Institute of Robotics, SENAI CIMATEC, Salvador, Bahia, Brazil","OCEANS 2017 - Anchorage","25 Dec 2017","2017","","","1","6","Simulation of unmanned underwater vehicles (UUVs) plays an important role in the development of submarine robots. The test of controllers in different simulated scenarios is crucial in order to avoid the lengthy development on the real vehicle. Robot simulators like Gazebo have been extensively used for this purpose, even if off-the-shelf physic engines do not consider one of the main aspects of hydrodynamics: the added mass. This lack of representation does not allow for a realistic test scenario of the underwater environment. This paper proposes a mathematical approach to consider the added mass effect in the simulation of UUVs. The proposed solution can overcome the inability of usual robot simulators to represent the added mass effect without changes to the physic engine.","","978-0-6929-4690-9","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8232205","","Computational modeling;Mathematical model;Robots;Engines;Vehicle dynamics;Hydrodynamics","autonomous underwater vehicles","UUVs;physic engine;dynamics simulation;Gazebo;unmanned underwater vehicles;submarine robots;off-the-shelf physic engines;underwater environment;robot simulators","","1","18","","25 Dec 2017","","","IEEE","IEEE Conferences"
"Prerequisite Study for the Development of Embedded Instrumentation for Plant Phenotyping Using Computational Vision","N. dos Santos Rosa; P. E. Cruvinel; J. d. Mendonça Naime","Embrapa Instrum. Brazilian Agric. Res. Corp., Sao Carlos, Brazil; Embrapa Instrum. Brazilian Agric. Res. Corp., Sao Carlos, Brazil; Embrapa Instrum. Brazilian Agric. Res. Corp., Sao Carlos, Brazil","2017 IEEE 11th International Conference on Semantic Computing (ICSC)","30 Mar 2017","2017","","","445","451","This paper sought to investigate the most relevant criteria for determination of an embedded stereo vision system, both in the choice of the cameras and in terms of the processing platform to be used for plant phenotyping. Since this paper is a result of a preliminary study of the real implementation itself, the main motivation was to evaluate the accuracy of the low-cost visual system's field of view and its viability for the proposed application. In addition, the real agricultural scenario was presented and studied, showing how the stereo system should be modeled to meet the accuracy and the portability requirements for using in situ machine vision in agricultural decision-making processes.","","978-1-5090-4284-5","10.1109/ICSC.2017.42","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7889577","Plant phenotyping;Machine Vision;Field Crop;Weed Identification;Project Development","Cameras;Robot vision systems;Stereo vision;Three-dimensional displays;Image resolution;Agriculture","agriculture;computer vision;decision making;stereo image processing","embedded instrumentation;plant phenotyping;computational vision;embedded stereo vision system;low-cost visual system;agricultural scenario;agricultural decision-making process","","","32","","30 Mar 2017","","","IEEE","IEEE Conferences"
